City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
471,Cap Malheureux,MU,73.47,-19.9842,57.6142,Cape Garden
472,Banjar,ID,76.46,-8.19,114.9675,Villa Banjar Beach
474,Manuk Mangkaw,PH,83.21,4.8,119.85,No hotel found
475,Santa Rita,BR,84.87,-7.1139,-34.9781,No hotel found
477,New Cumnock,GB,82.13,55.3956,-4.1846,No hotel found
478,Cabadiangan,PH,79.03,9.7531,122.4739,No hotel found
481,Balabac,PH,82.26,7.9868,117.0645,No hotel found
485,Santa Rita Do Passa Quatro,BR,80.6,-21.7103,-47.4781,Hotel Pousada da Colina
486,Banda Aceh,ID,82.69,5.5577,95.3222,Hotel 61
487,Hamilton,US,84.02,39.1834,-84.5333,North Vista Manor
493,Isabela,PH,79.18,6.7085,121.9711,No hotel found
496,Urumqi,CN,85.15,43.801,87.6005,百时快捷酒店红山店
499,Praya,CV,84.74,14.9215,-23.5087,Casa Sodadi
500,Ahuimanu,US,78.51,21.4447,-157.8378,No hotel found
501,Amalapuram,IN,88.43,16.5833,82.0167,No hotel found
503,Ilhabela,BR,82.49,-23.7781,-45.3581,Vila Kebaya
505,Worland,US,70.68,44.0169,-107.9554,Town House Motor Inn
507,Zimmi,SL,81.25,7.3153,-11.3061,No hotel found
508,Merauke,ID,74.86,-8.4667,140.3333,No hotel found
509,Nguruka,TZ,72.72,-5.1092,31.0419,Galaxy Lodge
510,Mpongwe,ZM,73.29,-13.5091,28.155,No hotel found
511,La Asuncion,VE,87.53,11.0333,-63.8628,Hotel La Ciudad
512,Nicoya,CR,85.3,10.1483,-85.452,Hotel marianela
515,Kindu,CD,76.12,-2.95,25.95,No hotel found
520,Martapura,ID,78.89,-3.4167,114.85,Q-Hotel Grand Dafam
522,Denpasar,ID,80.26,-8.65,115.2167,Hotel Candra Adiguna
523,Khonsa,IN,70.3,27.0167,95.5667,No hotel found
524,Ouro Preto Do Oeste,BR,83.41,-10.7481,-62.2158,Graúna Resort Hotel
525,Baillif,GP,89.1,16.0202,-61.7463,Hôtel de Rocroy
526,Iglesias,IT,78.78,39.3114,8.535,Euro Hotel
527,Makakilo City,US,77.32,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
528,Bardiyah,LY,73.2,31.7561,25.0865,فندق البردي
529,Elesbao Veloso,BR,88.43,-6.2019,-42.1403,No hotel found
530,Lasa,IT,76.08,46.6166,10.7002,"Hotel ""Drei Kreuz"""
531,Sinnai,IT,79.48,39.3042,9.2036,Hotel I Ginepri
532,Capoterra,IT,80.55,39.1763,8.9718,Rosa Hotel
535,Ambulu,ID,74.59,-8.345,113.6058,Hotel Ambulu
536,Lagos,NG,80.92,6.5833,3.75,No hotel found
537,Bonthe,SL,83.91,7.5264,-12.505,No hotel found
539,Tshikapa,CD,78.53,-6.4167,20.8,Hôtel TSHAMUNTU
541,Tura,IN,75.61,25.5198,90.2201,No hotel found
542,Palmer,US,72.57,42.1584,-72.3287,No hotel found
545,Hovd,MN,73.04,48.0056,91.6419,Khovd hotel
546,Wucheng,CN,73.71,29.6008,118.175,No hotel found
547,Sabrum,IN,77.68,23.0,91.7319,No hotel found
551,Belluru,IN,75.54,12.9911,76.7444,Hotel Mayura
553,Dhuburi,IN,78.67,26.0333,89.9667,The Town Hotel
555,Howard Springs,AU,75.11,-12.497,131.047,No hotel found
558,Santa Rosa,PH,79.11,14.3122,121.1114,JARS RESORT
563,Cidreira,BR,74.39,-30.1811,-50.2056,Hotel Castelo
564,Beyneu,KZ,84.85,45.3167,55.2,Johan yu
566,Onalaska,US,78.85,43.8844,-91.2351,Comfort Inn & Suites
572,Albacete,ES,79.18,38.8333,-2.0,No hotel found
573,Cliffside Park,US,76.71,40.8215,-73.9876,Comfort Inn Edgewater
574,Manggar,ID,82.02,-2.8833,108.2667,No hotel found
575,Maracas,BR,80.55,-13.4411,-40.4308,Pousada Vale Aprazível
576,Lixourion,GR,75.2,38.2019,20.4314,Palatino
577,Sechura,PE,81.5,-5.5569,-80.8222,Hospedaje Claritza
581,La Libertad,EC,83.86,-2.2333,-80.9,Hotel Mar Caribe
584,Gizo,SB,81.14,-8.103,156.8419,Gizo Hotel
586,La Ronge,CA,71.85,55.1001,-105.2842,La Ronge Hotel and Suites
590,Amapa,BR,82.49,1.0,-52.0,No hotel found
593,Lazaro Cardenas,MX,88.59,17.9583,-102.2,Hotel Sol del Pacífico
594,Dicabisagan,PH,78.96,17.0818,122.4157,No hotel found
595,Inhambane,MZ,71.58,-23.865,35.3833,Hotel de Inhambane
597,Xiaoshan,CN,80.46,30.1675,120.2588,杭州凯豪大酒店
598,Gazanjyk,TM,85.57,39.2446,55.5154,Şemşadyñ mamasy
600,Potoci,BA,74.71,43.4086,17.8786,Villa Anna
601,Ambon,ID,82.87,-3.6954,128.1814,Hotel Hero
602,Orizona,BR,85.23,-17.0314,-48.2958,No hotel found
604,Lima,PE,73.65,-12.0432,-77.0282,Hotel Peach Garden
608,Banyo,CM,71.08,6.75,11.8167,Hôtel Amin
610,Cururupu,BR,87.4,-1.8283,-44.8683,No hotel found
616,Murgab,TM,82.27,37.4966,61.9714,No hotel found
617,Tuy Hoa,VN,82.96,13.0833,109.3,Vinh Tuan Hotel
619,Dumas,US,80.62,35.8656,-101.9732,Red Roof Inn
