City_ID,City,Country,Max Temp,Latitude,Longitude,Hotel Name
280,Sinnamary,GF,81.75,5.3833,-52.95,Hôtel du fleuve
282,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
286,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
287,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
292,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
293,Key Largo,US,82.98,25.0865,-80.4473,Key Largo Inn
294,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
298,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
300,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
303,Sambava,MG,72.14,-14.2667,50.1667,Royal Sava Hôtel
306,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
309,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
311,Lorengau,PG,80.6,-2.0226,147.2712,Seeadler Bay Hotel
316,Port-Gentil,GA,78.55,-0.7193,8.7815,Tara-Mé
317,Vanimo,PG,78.08,-2.6741,141.3028,CBC Guesthouse
320,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
324,Beira,MZ,73.53,-19.8436,34.8389,Hotel Savoy
325,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
333,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
340,Chake Chake,TZ,75.9,-5.2459,39.7666,Annex Pemba Hotel
348,Portland,US,70.23,45.5234,-122.6762,the Hoxton
351,Hualmay,PE,74.01,-11.0964,-77.6139,Hotel Mi Choacan
361,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
366,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
367,Male,MV,84.15,4.1748,73.5089,Champa Central Hotel
372,Lorengau,PG,80.6,-2.0226,147.2712,Seeadler Bay Hotel
374,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
376,The Hammocks,US,82.99,25.6715,-80.4445,TownePlace Suites Miami Kendall West
379,Iquitos,PE,84.24,-3.7481,-73.2472,Marfil del Amazonas
381,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
382,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
385,Meulaboh,ID,76.87,4.1363,96.1285,Hotel Meuligou
392,Saint-Pierre,RE,71.28,-21.3393,55.4781,Tropic Hotel
393,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
394,Bosaso,SO,88.63,11.2842,49.1816,Bosaso hotel
395,Kathmandu,NP,71.83,27.7167,85.3167,आर्यतारा काठमाडौं होटल
399,San Ramon,US,77.81,37.7799,-121.978,Hyatt House
414,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Mediterrâneo
415,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
419,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
421,Dryden,CA,80.89,49.7833,-92.7503,Holiday Inn Express
432,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
435,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
438,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
440,Pimentel,PE,82.69,-6.8367,-79.9342,Hospedaje Calle del Sol
446,Hamilton,US,89.78,39.1834,-84.5333,North Vista Manor
448,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
452,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
453,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
456,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
459,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
460,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
464,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
475,Sao Jose Da Coroa Grande,BR,78.94,-8.8978,-35.1478,Hotel do Sol
476,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Mediterrâneo
479,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
483,Qinzhou,CN,81.91,21.95,108.6167,天骄国际酒店
484,Jerusalem,IL,76.71,31.769,35.2163,ענבל
491,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
492,Cockburn Town,TC,82.08,21.4612,-71.1419,The Salt Raker Inn
494,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
497,Lima,PE,73.65,-12.0432,-77.0282,Hotel Peach Garden
498,Vaitape,PF,75.97,-16.5167,-151.75,Oa Oa Lodge
504,Mitsamiouli,KM,79.77,-11.3847,43.2844,Hotel le Paradis
509,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
510,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
512,Buchanan,LR,79.36,5.8808,-10.0467,Phillipmena's Guesthouse
513,Puerto Narino,CO,79.57,-3.7703,-70.3831,Eco Hotel Euare
514,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
518,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
523,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Mediterrâneo
525,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
527,Bambanglipuro,ID,74.82,-7.95,110.2833,Puri Ganjuran
528,Faanui,PF,76.03,-16.4833,-151.75,Oa Oa Lodge
530,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
532,Kavieng,PG,82.38,-2.5744,150.7967,Kavieng Hotel
543,Sao Joao Da Barra,BR,77.09,-21.6403,-41.0511,Pousada Mediterrâneo
547,San Fernando,PH,82.13,15.0286,120.6898,Pampanga Lodge and Restaurant
548,Davila,PH,76.98,18.4726,120.5763,Blue Ridge Beach Resort
550,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
554,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
555,Daru,PG,77.27,-9.0763,143.2092,Kuki
571,Cabo San Lucas,MX,89.62,22.8909,-109.9124,Comfort Rooms
575,Quelimane,MZ,75.15,-17.8786,36.8883,Mabassa
582,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
591,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
592,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
594,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
597,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
599,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
601,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
603,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
604,Kahului,US,82.42,20.8947,-156.47,Maui Seaside Hotel
610,Sheridan,US,77.02,44.8333,-106.9173,Comfort Inn & Suites
611,Phangnga,TH,82.44,8.4509,98.5298,Hotel
612,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
616,Ambon,ID,83.64,-3.6954,128.1814,Hotel Hero
620,Buchanan,LR,79.36,5.8808,-10.0467,Phillipmena's Guesthouse
621,Santa Maria,BR,70.29,-29.6842,-53.8069,Hotel Morotin
623,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
625,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
626,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
627,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
629,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
634,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
637,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
638,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
639,Amuntai,ID,74.88,-2.4177,115.2494,Grand Balqis Hotel
641,Sao Felix Do Xingu,BR,84.97,-6.6447,-51.995,Hotel Terraço
643,Bardiyah,LY,77.97,31.7561,25.0865,فندق البردي
650,Aden,YE,89.26,12.7794,45.0367,فندق قصر الجزيرة
655,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
657,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
661,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
662,Pisco,PE,71.65,-13.7,-76.2167,La Portada
666,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
673,Hambantota,LK,80.37,6.1241,81.1185,Oasis Aurweda Resort Hambathota
675,Lamu,KE,77.22,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
676,Honiara,SB,77.58,-9.4333,159.95,King Solomon Hotel
680,Bardiyah,LY,77.97,31.7561,25.0865,فندق البردي
685,Macenta,GN,71.15,8.5435,-9.471,Hôtel Macenta
691,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
696,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
714,Hirara,JP,78.66,24.8,125.2833,古謝そば屋
715,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
722,Ponta Do Sol,PT,71.01,32.6667,-17.1,Estalagem Ponta do Sol
724,Robertsport,LR,81.27,6.7533,-11.3686,Nana's Lodge
726,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
727,Noumea,NC,73.0,-22.2763,166.4572,Hotel Gondwana
732,Luanda,AO,75.2,-8.8368,13.2343,Hotel Forum
733,Kapaa,US,82.72,22.0752,-159.319,Pono Kai Resort
736,Sao Filipe,CV,74.7,14.8961,-24.4956,Bela Vista
748,Quatre Cocos,MU,73.51,-20.2078,57.7625,Horisun
752,Komsomolskiy,UZ,72.32,40.4272,71.7189,"Hotel ""Ikat House"""
753,Pisco,PE,71.65,-13.7,-76.2167,La Portada
765,Cabo San Lucas,MX,89.62,22.8909,-109.9124,Comfort Rooms
768,Bac Lieu,VN,82.11,9.285,105.7244,Khách sạn Bạc Liêu
770,Lompoc,US,72.01,34.6391,-120.4579,Embassy Suites by Hilton Lompoc Central Coast
773,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
778,Atuona,PF,80.11,-9.8,-139.0333,Pearl Resort
780,Rikitea,PF,76.6,-23.1203,-134.9692,Chez Bianca & Benoit
790,Nabire,ID,75.38,-3.3667,135.4833,Hotel Anggrek
802,Victoria,HK,86.2,22.2855,114.1577,四季酒店 Four Seasons Hotel
805,Mahebourg,MU,73.69,-20.4081,57.7,Grand Bel Air
807,Diego De Almagro,CL,74.01,-26.3667,-70.05,Residencial Hambyll
809,Victoria,HK,86.2,22.2855,114.1577,四季酒店 Four Seasons Hotel
810,Isangel,VU,75.31,-19.55,169.2667,Tanna Lodge
817,Vaini,TO,73.56,-21.2,-175.2,Keleti International Resort
822,Saint-Philippe,RE,71.19,-21.3585,55.7679,Le Baril
829,Lishui,CN,72.95,28.4604,119.9103,丽水华侨开元名都大酒店
842,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
850,Banda Aceh,ID,80.22,5.5577,95.3222,Hotel 61
861,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
864,Avarua,CK,75.25,-21.2078,-159.775,Paradise Inn
865,Cedar City,US,73.06,37.6775,-113.0619,Baymont Inn & Suites
872,Hilo,US,76.62,19.7297,-155.09,Dolphin Bay Hotel
877,Puerto Ayora,EC,84.16,-0.7393,-90.3518,Hostal La Mirada De Solitario George
880,Pasighat,IN,76.69,28.0667,95.3333,Aane Hotel
892,Georgetown,MY,84.13,5.4112,100.3354,Page 63 hostel
894,Lorengau,PG,80.6,-2.0226,147.2712,Seeadler Bay Hotel
895,Jamestown,US,86.52,42.097,-79.2353,DoubleTree Jamestown
897,Bengkulu,ID,75.83,-3.8004,102.2655,Dena Hotel
903,Oistins,BB,84.29,13.0667,-59.5333,The Abidah By Accra
906,Victoria,HK,86.2,22.2855,114.1577,四季酒店 Four Seasons Hotel
